CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,TAS VALOR FIXO,TRT VALOR FIXO,TDE MÍNIMO,TDE MÁXIMO,TDE(%),TDA(%),ENTREGA VALOR FIXO
9900001,9999999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
11000000,11199999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11210000,11210000,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11220000,11220000,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11220991,11220991,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11230000,11230000,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11250001,11299999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11300001,11399999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11400001,11499999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11500001,11599999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11600001,11629999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11630000,11659999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11660001,11679999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11680001,11699999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11700001,11729999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11730000,11739999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11740000,11749999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11750000,11759999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11760000,11760000,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11770000,11770000,11,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11790000,11799999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11800000,11849999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11850000,11850000,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11860000,11860000,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11870000,11870000,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11900000,11909999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11910000,11919999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11920000,11924999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11925000,11929999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11930000,11939999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11940000,11949999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11950000,11954999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11955000,11959999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11960000,11989999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
11990000,11999999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12000001,12119999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12120000,12129999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12130000,12139999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12140000,12169999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
