CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,0.300,0.500,0.750,1.000,1.250,1.500,2.000,2.500,3.000,3.500,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,20.000,25.000,30.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS(%)
1216000,1216969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1217000,1218999,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","3,05"
1219000,1219969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1220000,1220969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1221000,1223969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1224000,1227969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1228000,1234969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1235000,1239969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1240000,1301969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1302000,1304969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1305000,1309969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1310000,1311999,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","3,05"
1312000,1314969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1315000,1327969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1328000,1401969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1402000,1402969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1403000,1405969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1406000,1412969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1413000,1418969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1419000,1427969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1428000,1452969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1453000,1501969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1502000,1502969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1503000,1504969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1505000,1509969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1510000,1519969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1520000,1531969,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","0,61"
1532000,1532999,2,,"10,87","11,26","11,73","12,29","12,81","13,40","14,03","14,67","15,31","15,98","16,65","17,33","25,56","29,58","33,21","37,71","42,60","47,93","50,96","54,01","57,36","60,97","76,83","94,66","106,02","10,6","0,61","3,05"
